platform,platform_name,title_zh,title_en,title_ja,release_date,release_date_na,release_date_pal,publisher,wiki_url,publisher_wiki_url
FC,Family Computer,大迷路,Dai Meiro - Meikyuu no Tatsujin,大迷路 迷宮の達人,1990年11月30日,,,エポック社,,
FC,Family Computer,忍者神龟 街机版,Teenage Mutant Ninja Turtles,T.M.N.T.,1990年12月7日,,,科乐美,https://zh.wikipedia.org/wiki/%E5%BF%8D%E8%80%85%E7%A5%9E%E9%BE%9F_%E8%A1%97%E6%9C%BA%E7%89%88,
FC,Family Computer,西游记世界2：天上界的魔神,Saiyuuki World 2 - Tenjoukai no Majin,西遊記ワールドII 天上界の魔神,1990年12月7日,,,Jaleco,,
FC,Family Computer,梦之勇士/睡衣英雄,Nemo - Pajama Hero,NEMO パジャマヒーロー,1990年12月7日,,,卡普空,https://zh.wikipedia.org/wiki/%E6%A2%A6%E4%B9%8B%E5%8B%87%E5%A3%AB,
FC,Family Computer,自我中心派2,Gambler Jiko Chuushin Ha 2,ぎゅわんぶらあ自己中心派2,1990年12月7日,,,Asmik,,
FC,Family Computer,时空勇士,Times of Lore,タイムズ オブ ロア 失われたメダリオン,1990年12月7日,,,东宝,,https://zh.wikipedia.org/wiki/%E4%B8%9C%E5%AE%9D
FC,Family Computer,世界拳击,Rush Up,グレートボクシング RUSH UP,1990年12月7日,,,ビスコ,,
FC,Family Computer,千代大相扑,Chiyo no Fuji no Ooichou,千代の富士の大銀杏,1990年12月7日,,,フェイス,,
FC,Family Computer,特库摩世界杯足球赛,Tecmo World Cup Soccer,テクモ ワールドカップサッカー,1990年12月7日,,,特库摩,,
FC,Family Computer,任天堂顶尖经营者,Famicom Top Management,ファミコントップマネジメント,1990年12月12日,,,光荣,,
FC,Family Computer,亚斯基础职业棒球90,Best Play Pro Yakyuu '90,ベストプレープロ野球'90,1990年12月13日,,,ASCII,,
FC,Family Computer,瓦强世界2,Wagan Land 2,ワギャンランド2,1990年12月14日,,,南梦宫,,
FC,Family Computer,金属装甲,Metal Flame Psybuster,メタルフレーム・サイバスター,1990年12月14日,,,Jaleco,,
FC,Family Computer,叮当超人/小超人帕门,Paaman - Enban wo Torikaese!!,パーマン えんばんをとりかえせ,1990年12月14日,,,Irem,,
FC,Family Computer,小精灵2：新种诞生,Gremlin 2 - Shinshu Tanjou,グレムリン2 -新種誕生-,1990年12月14日,,,Sun电子,,
FC,Family Computer,立体方块,KLAX,クラックス,1990年12月14日,,,Hudson Soft,,
FC,Family Computer,小魔女皮皮,Magical Doropie,まじかるキッズどろぴー,1990年12月14日,,,VIC东海,,
FC,Family Computer,暴坊天狗,Abarenbou Tengu,暴れん坊天狗,1990年12月14日,,,メルダック,,https://zh.wikipedia.org/wiki/%E5%BE%B3%E9%96%93%E3%82%B8%E3%83%A3%E3%83%91%E3%83%B3%E3%82%B3%E3%83%9F%E3%83%A5%E3%83%8B%E3%82%B1%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%BA
FC,Family Computer,忍者龙牙,Ninja Crusaders - Ryuuga,忍者クルセイダーズ 龍牙,1990年12月14日,,,Sammy,https://zh.wikipedia.org/wiki/%E5%BF%8D%E8%80%85%E9%BE%99%E7%89%99,https://zh.wikipedia.org/wiki/Sammy
FC,Family Computer,必杀仕事,Hissatsu Shigoto Nin,必殺仕事人,1990年12月15日,,,帕布雷斯特,,
FC,Family Computer,杰克与魔豆,Jumpin' Kid - Jack to Mame no Ki Monogatari,ジャンピン・キッド ジャックと豆の木ものがたり,1990年12月19日,,,Asmik,,
FC,Family Computer,战斗野球,Battle Stadium - Senbatsu Pro Yakyuu,バトルスタジアム 選抜プロ野球,1990年12月19日,,,アイジーエス,,
FC,Family Computer,明星职棒91年度版,Famista '91,ファミスタ'91,1990年12月21日,,,南梦宫,,
FC,Family Computer,剑之达人,Sword Master,ソードマスター,1990年12月21日,,,アテナ,,
FC,Family Computer,地狱极乐丸,Jigoku Gokuraku Maru,地獄・極楽丸,1990年12月21日,,,Pack-In-Video,,
